Species	AverageGrantham	SummOfAllGrantham	KnKs	MedianOfAllSyn	MedianOfAllNonsyn	FractionOfSyn	FractionOfNonsyn	GenerationLength_d	category
Mus musculus	51	79	0.136363636363636	13	2	0.875	0.125	628.295	LC
Mustela erminea	58	58	0.166666666666667	4	1	0.857142857142857	0.142857142857143	1078.777858343	LC
Mustela frenata	39.5	99	0.230769230769231	11	2	0.8125	0.1875	986.110483343	LC
Mustela nivalis	33.5	64	0.111111111111111	9	2	0.897368421052632	0.102631578947368	1194.19395	LC
Mustela sibirica	48.8	92.5	0.214285714285714	8	2	0.811764705882353	0.188235294117647	1484.792222219	LC
Myodes glareolus	51	80	0.11451048951049	10	1	0.894736842105263	0.105263157894737	577.7512	LC
Myodes rufocanus	22	0	0	11	0	1	0	433.359922223833	LC
Myodes rutilus	142	81	0.0303030303030303	26	1	0.970588235294118	0.0294117647058824	433.359922223833	LC
Myonycteris torquata	21	0	0	8	0	1	0	1553.79087272727	LC
Myotis albescens	34.5454545454545	184	0.142857142857143	24	5	0.868534482758621	0.131465517241379	2106.62850416667	LC
Myotis aurascens	49.2833333333333	365	0.126666666666667	51	8	0.887573964497041	0.112426035502959	2106.62850416667	LC
Myotis brandtii	77.5	96	0.5	3	1	0.666666666666667	0.333333333333333	2106.62850416667	LC
Myotis davidii	51	67	0.133333333333333	12	2	0.882352941176471	0.117647058823529	2106.62850416667	LC
Myotis ikonnikovi	44.7142857142857	58	0.04	22	1	0.961538461538462	0.0384615384615385	2106.62850416667	LC
Myotis lucifugus	21	42	0.0833333333333333	16.5	1	0.923076923076923	0.0769230769230769	4117.2	EN
Myotis macrodactylus	22	21	0.0416666666666667	6	1	0.923076923076923	0.0769230769230769	2106.62850416667	LC
Myotis myotis	24	36	0.1	25	1	0.909090909090909	0.0909090909090909	2847	LC
Myotis mystacinus	41.5	21	0.122699386503067	5	1	0.890410136311776	0.109589863688224	2864.16	LC
Myotis nattereri	55.0952380952381	829	0.209876543209877	75	13	0.824742268041237	0.175257731958763	2106.62850416667	LC
Myotis velifer	34.5	67	0.107142857142857	16	2	0.903225806451613	0.0967741935483871	1579.5955	LC
Mystacina tuberculata	66.8333333333333	153	0.25	12	3	0.8	0.2	1888.06537051282	VU
Nanonycteris veldkampii	21	21	0.25	3	1	0.8	0.2	1553.79087272727	LC
Napaeozapus insignis	48.625	259	0.0769230769230769	115	6	0.928571428571429	0.0714285714285714	755.61195	LC
Neodon irene	29.3333333333333	67	0.163636363636364	13	2	0.859375	0.140625	589.388299099621	LC
Neomys fodiens	39	22	0.032258064516129	28	1	0.96875	0.03125	576.8888	LC
Neophocaena phocaenoides	40	79	0.3	8	2	0.769230769230769	0.230769230769231	6095.5	VU
Neophocaena phocaenoides	40	79	0.3	8	2	0.769230769230769	0.230769230769231	5840	VU
Neotoma albigula	32.25	67	0.333333333333333	8	2	0.75	0.25	1019.7194	LC
