Species	AverageGrantham	SummOfAllGrantham	KnKs	MedianOfAllSyn	MedianOfAllNonsyn	FractionOfSyn	FractionOfNonsyn	AdultBodyMass_g	GenerationLength_d	category
231	Chamaeleo chamaeleon	57	181	0.285714285714286	11	3	0.777777777777778	0.222222222222222	NA	NA	LC
232	Channa marulius	33.5	92	0.8	3	3	0.5	0.5	NA	NA	NA
233	Channa striata	49.1818181818182	131	0.348884381338742	4	2	0.739130434782609	0.260869565217391	NA	NA	NA
234	Cheirogaleus crossleyi	62.0833333333333	194	0.1	23.5	2	0.909090909090909	0.0909090909090909	400	2236.94965	DD
235	Cheirogaleus major	59.2857142857143	60	0.141428571428571	18	2	0.87609649122807	0.12390350877193	446.02	1888.9911	DD
236	Cheirogaleus medius	62.5384615384615	157.5	0.142857142857143	25	3	0.875	0.125	196.76	2584.9082	LC
237	Chilabothrus inornatus	81	81	0.416666666666667	2	1	0.666666666666667	0.333333333333333	NA	NA	NA
238	Chilabothrus monensis	58.8333333333333	21	0.245	5	1	0.8	0.2	NA	NA	NA
239	Chimarrogale himalayica	33.5555555555556	260	0.075	118	7	0.930232558139535	0.0697674418604651	33.5	379.29295625	LC
240	Chionodraco rastrospinosus	46	46	0.5	2	1	0.666666666666667	0.333333333333333	NA	NA	NA
241	Chionomys roberti	33.5	64	0.166666666666667	10	2	0.857142857142857	0.142857142857143	93.5	589.388299099621	LC
242	Chlamydosaurus kingii	52.8333333333333	110.5	0.170289855072464	24.5	1.5	0.854497354497354	0.145502645502645	NA	NA	NA
243	Chlamydotis undulata	30.5	81	0.166666666666667	18	2	0.826086956521739	0.173913043478261	NA	NA	VU
244	Chlorocebus aethiops	42.2857142857143	242	0.230769230769231	20	6	0.805555555555556	0.194444444444444	3695.99	4533.4825	LC
245	Chlorocebus pygerythrus	58.2803921568627	711	0.34375	36	13	0.744186046511628	0.255813953488372	4000	4533.4825	LC
246	Chlorocebus sabaeus	40.4	56	0.2	11	2	0.833333333333333	0.166666666666667	5900	4533.4825	LC
247	Chlorocebus tantalus	59.3333333333333	236	0.256578947368421	20.5	5	0.795833333333333	0.204166666666667	4000	4533.4825	LC
248	Chlorocharis emiliae	21	31.5	0.0869565217391304	19	1	0.918333333333333	0.0816666666666667	NA	NA	NA
249	Chlorophanes spiza	NA	0	0	6	0	1	0	NA	NA	LC
250	Cichla monoculus	39.5	98	0.173913043478261	6	2	0.851851851851852	0.148148148148148	NA	NA	NA
251	Cichla orinocensis	38.8	98	0.138888888888889	7	1	0.878048780487805	0.121951219512195	NA	NA	NA
252	Cichla pinima	32.6428571428572	121	0.196153846153846	24	4	0.833333333333333	0.166666666666667	NA	NA	NA
253	Cinclodes fuscus	21	21	0.117647058823529	9	1	0.894736842105263	0.105263157894737	NA	NA	LC
254	Cirrhinus mrigala	64.1818181818182	0	0	4	0	1	0	NA	NA	NA
